date,order,unit,qty
1514025235870,bid,18282000,3.48113513
1514025235870,bid,18270000,0.01130000
1514025235870,bid,18263000,0.12210000
1514025236870,ask,18320000,0.04304733
1514025236870,ask,18323000,0.38860000
1514025236870,ask,18324000,0.18050000
1514025236870,ask,18328000,0.60020000
1514025236870,ask,18340000,0.04408659
1514025236870,ask,18341000,0.45720000
1514025236870,ask,18345000,0.62660000
1514025236870,bid,18290000,1.39170000
1514025236870,bid,18288000,0.66560000
1514025236870,bid,18287000,0.27390000
1514025236870,bid,18284000,1.25560000
1514025236870,bid,18282000,3.48113513
1514025236870,bid,18270000,0.01130000
1514025236870,bid,18263000,0.12210000
1514025237872,ask,18319000,0.04400000
1514025237872,ask,18320000,0.04304733
1514025237872,ask,18323000,0.38860000
1514025237872,ask,18324000,0.18050000
1514025237872,ask,18328000,0.60020000
1514025237872,ask,18339000,0.12000000
1514025237872,ask,18340000,0.04408659
1514025237872,bid,18290000,1.59170000
1514025237872,bid,18288000,0.66560000
1514025237872,bid,18287000,0.27390000
1514025237872,bid,18284000,1.28650000
1514025237872,bid,18282000,3.48113513
1514025237872,bid,18270000,0.01130000
1514025237872,bid,18263000,0.12210000
1514025238874,ask,18319000,0.04400000
1514025238874,ask,18320000,0.04304733
1514025238874,ask,18323000,0.38860000
1514025238874,ask,18324000,0.18050000
1514025238874,ask,18328000,0.60020000
1514025238874,ask,18339000,0.12000000
1514025238874,ask,18340000,0.04408659
1514025238874,bid,18290000,1.59170000
1514025238874,bid,18288000,0.66560000
1514025238874,bid,18287000,0.27390000
1514025238874,bid,18284000,1.28650000
1514025238874,bid,18282000,3.48113513
1514025238874,bid,18270000,0.01130000
1514025238874,bid,18263000,0.12210000
1514025239895,ask,18319000,0.04400000
1514025239895,ask,18320000,0.04304733
1514025239895,ask,18323000,0.38860000
1514025239895,ask,18324000,0.18050000
1514025239895,ask,18328000,0.60020000
1514025239895,ask,18339000,0.12000000
1514025239895,ask,18340000,0.04408659
1514025239895,bid,18291000,0.40000000
1514025239895,bid,18284000,0.00590000
1514025239895,bid,18282000,2.29983513
1514025239895,bid,18270000,0.01130000
1514025239895,bid,18263000,0.12210000
1514025239895,bid,18262000,1.38680000
1514025239895,bid,18261000,0.10500000
1514025240945,ask,18319000,0.04400000
1514025240945,ask,18320000,0.04304733
1514025240945,ask,18323000,0.07790000
1514025240945,ask,18324000,0.18050000
1514025240945,ask,18327000,0.45760000
1514025240945,ask,18328000,0.60020000
1514025240945,ask,18339000,0.12000000
1514025240945,bid,18291000,4.40000000
1514025240945,bid,18287000,0.01150000
1514025240945,bid,18284000,0.00590000
1514025240945,bid,18282000,2.29983513
1514025240945,bid,18270000,0.01130000
1514025240945,bid,18263000,0.12210000
1514025240945,bid,18262000,1.38680000
1514025242045,ask,18319000,0.04400000
1514025242045,ask,18320000,0.04304733
1514025242045,ask,18323000,0.07790000
1514025242045,ask,18324000,0.18050000
1514025242045,ask,18327000,0.45760000
1514025242045,ask,18328000,0.60020000
1514025242045,ask,18339000,0.12000000
1514025242045,bid,18291000,4.41910000
1514025242045,bid,18287000,0.01150000
1514025242045,bid,18282000,2.29983513
1514025242045,bid,18270000,0.01130000
1514025242045,bid,18263000,0.12210000
1514025242045,bid,18262000,1.38680000
1514025242045,bid,18261000,0.10500000
1514025243073,ask,18319000,0.04400000
1514025243073,ask,18320000,0.04304733
1514025243073,ask,18323000,0.07790000
1514025243073,ask,18324000,0.18050000
1514025243073,ask,18327000,0.45760000
1514025243073,ask,18328000,0.60020000
1514025243073,ask,18339000,0.12000000
1514025243073,bid,18291000,4.41910000
1514025243073,bid,18287000,0.01150000
1514025243073,bid,18282000,2.29983513
1514025243073,bid,18270000,0.01130000
1514025243073,bid,18263000,0.12210000
1514025243073,bid,18262000,1.38680000
1514025243073,bid,18261000,0.10500000
1514025243992,ask,18319000,0.04400000
1514025243992,ask,18320000,0.04304733
1514025243992,ask,18323000,0.07790000
1514025243992,ask,18324000,0.18050000
1514025243992,ask,18327000,0.45760000
1514025243992,ask,18328000,0.60020000
1514025243992,ask,18339000,0.12000000
1514025243992,bid,18291000,4.41910000
1514025243992,bid,18287000,0.01150000
1514025243992,bid,18282000,2.29983513
1514025243992,bid,18270000,0.02770000
1514025243992,bid,18263000,0.12210000
1514025243992,bid,18262000,1.38680000
1514025243992,bid,18261000,0.10500000
1514025245015,ask,18318000,0.10000000
1514025245015,ask,18319000,0.04400000
1514025245015,ask,18320000,0.04304733
1514025245015,ask,18323000,0.07790000
1514025245015,ask,18324000,0.18050000
1514025245015,ask,18328000,0.60020000
1514025245015,ask,18339000,0.12000000
1514025245015,bid,18291000,4.01910000
1514025245015,bid,18287000,0.01150000
1514025245015,bid,18282000,2.29983513
1514025245015,bid,18270000,0.02770000
1514025245015,bid,18263000,0.12210000
1514025245015,bid,18262000,1.38680000
1514025245015,bid,18261000,0.10500000
1514025246027,ask,18318000,0.10000000
1514025246027,ask,18319000,0.04400000
1514025246027,ask,18320000,0.04304733
1514025246027,ask,18323000,0.07790000
1514025246027,ask,18324000,0.18050000
1514025246027,ask,18328000,0.60020000
1514025246027,ask,18339000,0.12000000
1514025246027,bid,18297000,1.00000000
1514025246027,bid,18291000,4.01910000
1514025246027,bid,18287000,0.01150000
1514025246027,bid,18282000,2.29983513
1514025246027,bid,18270000,0.02770000
1514025246027,bid,18263000,0.12210000
1514025246027,bid,18262000,1.38680000
1514025247064,ask,18318000,0.10000000
1514025247064,ask,18319000,0.04400000
1514025247064,ask,18320000,0.04304733
1514025247064,ask,18323000,0.07790000
1514025247064,ask,18324000,0.18050000
1514025247064,ask,18328000,0.60020000
1514025247064,ask,18339000,0.12000000
1514025247064,bid,18297000,1.00000000
1514025247064,bid,18291000,4.01910000
1514025247064,bid,18287000,0.01150000
1514025247064,bid,18282000,2.29983513
1514025247064,bid,18270000,0.02770000
1514025247064,bid,18263000,0.12210000
1514025247064,bid,18262000,1.38680000
1514025248067,ask,18318000,0.10000000
1514025248067,ask,18319000,0.04400000
1514025248067,ask,18320000,0.04304733
1514025248067,ask,18323000,0.07790000
1514025248067,ask,18324000,0.18050000
