date,order,unit,qty
1514023271000,ask,18637000,0.0577
1514023271000,bid,18650000,0.00965351
1514023283000,bid,18649000,0.0011
1514023282000,bid,18649000,0.02368459
1514023281000,ask,18640000,0.5
1514023276000,ask,18639000,0.0118
1514023275000,ask,18630000,0.0002
1514023275000,ask,18630000,0.0303
1514023275000,ask,18631000,0.2
1514023273000,ask,18630000,0.046
1514023273000,ask,18630000,0.5907
1514023273000,ask,18631000,0.1
1514023273000,bid,18639000,0.5364
1514023273000,ask,18637000,0.0021
1514023273000,ask,18637000,0.0265
1514023271000,ask,18637000,0.0577
1514023283000,ask,18640000,0.0107
1514023283000,ask,18640000,0.5336
1514023283000,ask,18641000,0.1
1514023283000,bid,18649000,0.0011
1514023282000,bid,18649000,0.02368459
1514023281000,ask,18640000,0.5
1514023276000,ask,18639000,0.0118
1514023275000,ask,18630000,0.0002
1514023275000,ask,18630000,0.0303
1514023275000,ask,18631000,0.2
1514023273000,ask,18630000,0.046
1514023273000,ask,18630000,0.5907
1514023273000,ask,18631000,0.1
1514023273000,bid,18639000,0.5364
1514023285000,bid,18650000,0.03
1514023284000,bid,18648000,0.3
1514023284000,bid,18640000,0.0555
1514023284000,bid,18640000,0.6156
1514023283000,ask,18640000,0.0107
1514023283000,ask,18640000,0.5336
1514023283000,ask,18641000,0.1
1514023283000,bid,18649000,0.0011
1514023282000,bid,18649000,0.02368459
1514023281000,ask,18640000,0.5
1514023276000,ask,18639000,0.0118
1514023275000,ask,18630000,0.0002
1514023275000,ask,18630000,0.0303
1514023275000,ask,18631000,0.2
1514023285000,bid,18650000,0.03
1514023284000,bid,18648000,0.3
1514023284000,bid,18640000,0.0555
1514023284000,bid,18640000,0.6156
1514023283000,ask,18640000,0.0107
1514023283000,ask,18640000,0.5336
1514023283000,ask,18641000,0.1
1514023283000,bid,18649000,0.0011
1514023282000,bid,18649000,0.02368459
1514023281000,ask,18640000,0.5
1514023276000,ask,18639000,0.0118
1514023275000,ask,18630000,0.0002
1514023275000,ask,18630000,0.0303
1514023275000,ask,18631000,0.2
1514023285000,bid,18650000,0.03
1514023284000,bid,18648000,0.3
1514023284000,bid,18640000,0.0555
1514023284000,bid,18640000,0.6156
1514023283000,ask,18640000,0.0107
1514023283000,ask,18640000,0.5336
1514023283000,ask,18641000,0.1
1514023283000,bid,18649000,0.0011
1514023282000,bid,18649000,0.02368459
1514023281000,ask,18640000,0.5
1514023276000,ask,18639000,0.0118
1514023275000,ask,18630000,0.0002
1514023275000,ask,18630000,0.0303
1514023275000,ask,18631000,0.2
1514023288000,ask,18649000,0.1
1514023288000,ask,18649000,0.0186
1514023285000,bid,18650000,0.03
1514023284000,bid,18648000,0.3
1514023284000,bid,18640000,0.0555
1514023284000,bid,18640000,0.6156
1514023283000,ask,18640000,0.0107
1514023283000,ask,18640000,0.5336
1514023283000,ask,18641000,0.1
1514023283000,bid,18649000,0.0011
1514023282000,bid,18649000,0.02368459
1514023281000,ask,18640000,0.5
1514023276000,ask,18639000,0.0118
1514023275000,ask,18630000,0.0002
1514023289000,ask,18649000,0.1532
1514023288000,bid,18650000,1.01965351
1514023288000,bid,18650000,0.73
1514023288000,bid,18650000,0.03
1514023288000,bid,18650000,0.01
1514023288000,bid,18650000,0.21034649
1514023288000,ask,18649000,0.1
1514023288000,ask,18649000,0.0186
1514023285000,bid,18650000,0.03
1514023284000,bid,18648000,0.3
1514023284000,bid,18640000,0.0555
1514023284000,bid,18640000,0.6156
1514023283000,ask,18640000,0.0107
1514023283000,ask,18640000,0.5336
1514023289000,ask,18649000,0.1532
1514023288000,bid,18650000,1.01965351
1514023288000,bid,18650000,0.73
1514023288000,bid,18650000,0.03
1514023288000,bid,18650000,0.01
1514023288000,bid,18650000,0.21034649
1514023288000,ask,18649000,0.1
1514023288000,ask,18649000,0.0186
1514023285000,bid,18650000,0.03
1514023284000,bid,18648000,0.3
1514023284000,bid,18640000,0.0555
1514023284000,bid,18640000,0.6156
1514023283000,ask,18640000,0.0107
1514023283000,ask,18640000,0.5336
1514023291000,bid,18650000,0.22971866
1514023291000,ask,18649000,0.6983
