name,url,url-href,price_min,price_max,screen_size_cm,chipset,series,cpu,operating_system,ssd,memory,resolution,cpu_speed,memory_type
"HP 15-AY013TU","HP 15-AY013TU","http://shopping.naver.com/detail/detail.nhn?nv_mid=10123597692&cat_id=50000151&frm=NVSHCHK&query=","409,900","515,000","39.6","인텔","코어 i3","CPU : i3-5005U","운영체제 : 미포함","null","메모리 용량 : 4GB","해상도 : 1366x768","CPU속도 : 2.0GHz","메모리 타입 : DDR3L"
"삼성전자 노트북9 NT930X2K-KY4","삼성전자 노트북9 NT930X2K-KY4","http://shopping.naver.com/detail/detail.nhn?nv_mid=8198432950&cat_id=50000151&frm=NVSHCHK&query=","1,165,400","1,784,400","12.2","인텔","코어M","CPU : 5Y10c","운영체제 : 윈도우8.1","SSD : 256GB","메모리 용량 : 8GB","해상도 : 2560x1600","CPU속도 : 1.0 이하GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북9 Lite NT910S3Q-MD1S","삼성전자 노트북9 Lite NT910S3Q-MD1S","http://shopping.naver.com/detail/detail.nhn?nv_mid=10114932004&cat_id=50000151&frm=NVSHCHK&query=","498,000","711,020","33.7","인텔","셀러론","CPU : 3855U","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 1.6GHz","메모리 타입 : DDR4"
"삼성전자 노트북9 Always NT900X3N-K58","삼성전자 노트북9 Always NT900X3N-K58","http://shopping.naver.com/detail/detail.nhn?nv_mid=10829300772&cat_id=50000151&frm=NVSHCHK&query=","1,553,400","1,950,000","33.7","인텔","코어 i5","CPU : i5-7200U(카비레이크)","운영체제 : 윈도우10","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.5GHz","메모리 타입 : DDR4"
"삼성전자 노트북3 NT300E5K-L31L","삼성전자 노트북3 NT300E5K-L31L","http://shopping.naver.com/detail/detail.nhn?nv_mid=10062648553&cat_id=50000151&frm=NVSHCHK&query=","662,480","1,461,000","39.6","인텔","코어 i3","CPU : i3-5005U","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 4GB","해상도 : 1920x1080","CPU속도 : 2.0GHz","메모리 타입 : DDR3L"
"삼성전자 노트북9 metal NT900X3L-K58","삼성전자 노트북9 metal NT900X3L-K58","http://shopping.naver.com/detail/detail.nhn?nv_mid=9420286429&cat_id=50000151&frm=NVSHCHK&query=","1,216,580","2,142,800","33.7","인텔","코어 i5","CPU : i5-6200U(스카이레이크)","운영체제 : 윈도우10","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
"에이수스 L200HA-FD0071T","에이수스 L200HA-FD0071T","http://shopping.naver.com/detail/detail.nhn?nv_mid=10418479484&cat_id=50000151&frm=NVSHCHK&query=","229,000","239,000","29.5","인텔","아톰 x5","CPU : x5-Z8350","운영체제 : 윈도우10","null","메모리 용량 : 2GB","해상도 : 1366x768","CPU속도 : 1.44GHz","메모리 타입 : DDR3L"
"삼성전자 노트북9 Lite NT910S3Q-M38S","삼성전자 노트북9 Lite NT910S3Q-M38S","http://shopping.naver.com/detail/detail.nhn?nv_mid=10080926016&cat_id=50000151&frm=NVSHCHK&query=","693,000","889,000","33.7","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : DDR4"
"삼성전자 노트북5 NT500R5S-YD7S","삼성전자 노트북5 NT500R5S-YD7S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9035134199&cat_id=50000151&frm=NVSHCHK&query=","985,000","1,530,300","39.6","인텔","코어 i7","CPU : i7-5500U","운영체제 : 미포함","SSD : 128GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.4GHz","메모리 타입 : LPDDR3"
"삼성전자 노트북9 metal NT900X3P-KD3S","삼성전자 노트북9 metal NT900X3P-KD3S","http://shopping.naver.com/detail/detail.nhn?nv_mid=9545044196&cat_id=50000151&frm=NVSHCHK&query=","939,000","2,435,000","33.7","인텔","코어 i3","CPU : i3-6100U(스카이레이크)","운영체제 : 미포함","SSD : 256GB","메모리 용량 : 8GB","해상도 : 1920x1080","CPU속도 : 2.3GHz","메모리 타입 : LPDDR3"
